"parm_id";"industry";"cartel";"detected";"nTc";"rep_off";"start";"end";"duration";"lduration";"n_firms";"sigma_start";"in_cartel";"nfirms2";"nfirms3";"sigma2";"sigma3";"nfirms_sigma"
27;152;14;0;0;0;263;527;265;5.5834963087817;6;0.2;1;36;216;0.04;0.008;1.2
27;152;15;0;0;0;529;535;7;2.07944154167984;6;0.2;1;36;216;0.04;0.008;1.2
27;152;16;0;0;0;537;537;1;0.693147180559945;6;0.2;1;36;216;0.04;0.008;1.2
27;152;17;0;0;0;539;543;5;1.79175946922805;6;0.2;1;36;216;0.04;0.008;1.2
27;152;18;0;0;0;545;545;1;0.693147180559945;6;0.2;1;36;216;0.04;0.008;1.2
27;152;19;0;0;0;603;603;1;0.693147180559945;6;0.2;1;36;216;0.04;0.008;1.2
28;152;1;1;1;0;1;99;99;4.60517018598809;6;0.25;1;36;216;0.0625;0.015625;1.5
28;152;2;0;1;0;101;109;9;2.30258509299405;6;0.25;1;36;216;0.0625;0.015625;1.5
28;152;3;0;0;0;111;113;3;1.38629436111989;6;0.25;1;36;216;0.0625;0.015625;1.5
28;152;4;1;2;1;117;452;336;5.82008293035236;6;0.25;1;36;216;0.0625;0.015625;1.5
28;152;5;0;2;1;454;663;210;5.35185813347607;6;0.25;1;36;216;0.0625;0.015625;1.5
28;152;6;0;0;0;665;665;1;0.693147180559945;6;0.25;1;36;216;0.0625;0.015625;1.5
28;152;7;0;0;0;785;787;3;1.38629436111989;6;0.25;1;36;216;0.0625;0.015625;1.5
28;152;8;0;0;0;793;793;1;0.693147180559945;6;0.25;1;36;216;0.0625;0.015625;1.5
28;152;9;0;0;0;795;839;45;3.8286413964891;6;0.25;1;36;216;0.0625;0.015625;1.5
28;152;10;0;0;0;841;841;1;0.693147180559945;6;0.25;1;36;216;0.0625;0.015625;1.5
28;152;11;0;0;0;843;891;49;3.91202300542815;6;0.25;1;36;216;0.0625;0.015625;1.5
28;152;12;0;0;0;899;899;1;0.693147180559945;6;0.25;1;36;216;0.0625;0.015625;1.5
28;152;13;0;0;0;909;909;1;0.693147180559945;6;0.25;1;36;216;0.0625;0.015625;1.5
28;152;14;0;0;0;911;1000;90;4.51085950651685;6;0.25;1;36;216;0.0625;0.015625;1.5
29;152;1;0;0;0;1;181;181;5.2040066870768;6;0.3;1;36;216;0.09;0.027;1.8
29;152;2;0;0;0;185;185;1;0.693147180559945;6;0.3;1;36;216;0.09;0.027;1.8
29;152;3;0;0;0;191;211;21;3.09104245335832;6;0.3;1;36;216;0.09;0.027;1.8
29;152;4;0;0;0;213;213;1;0.693147180559945;6;0.3;1;36;216;0.09;0.027;1.8
29;152;5;1;1;0;215;386;172;5.15329159449778;6;0.3;1;36;216;0.09;0.027;1.8
29;152;6;1;2;1;388;398;11;2.484906649788;6;0.3;1;36;216;0.09;0.027;1.8
29;152;7;0;2;1;400;495;96;4.57471097850338;6;0.3;1;36;216;0.09;0.027;1.8
29;152;8;0;0;0;503;503;1;0.693147180559945;6;0.3;1;36;216;0.09;0.027;1.8
29;152;9;0;0;0;505;507;3;1.38629436111989;6;0.3;1;36;216;0.09;0.027;1.8
29;152;10;0;0;0;513;513;1;0.693147180559945;6;0.3;1;36;216;0.09;0.027;1.8
29;152;11;0;0;0;541;541;1;0.693147180559945;6;0.3;1;36;216;0.09;0.027;1.8
29;152;12;1;3;1;543;703;161;5.08759633523238;6;0.3;1;36;216;0.09;0.027;1.8
29;152;13;0;3;1;705;809;105;4.66343909411207;6;0.3;1;36;216;0.09;0.027;1.8
29;152;14;0;0;0;811;811;1;0.693147180559945;6;0.3;1;36;216;0.09;0.027;1.8
29;152;15;0;0;0;813;815;3;1.38629436111989;6;0.3;1;36;216;0.09;0.027;1.8
29;152;16;0;0;0;817;819;3;1.38629436111989;6;0.3;1;36;216;0.09;0.027;1.8
29;152;17;0;0;0;823;823;1;0.693147180559945;6;0.3;1;36;216;0.09;0.027;1.8
29;152;18;0;0;0;825;841;17;2.89037175789616;6;0.3;1;36;216;0.09;0.027;1.8
29;152;19;0;0;0;853;859;7;2.07944154167984;6;0.3;1;36;216;0.09;0.027;1.8
29;152;20;0;0;0;861;863;3;1.38629436111989;6;0.3;1;36;216;0.09;0.027;1.8
29;152;21;0;0;0;875;877;3;1.38629436111989;6;0.3;1;36;216;0.09;0.027;1.8
29;152;22;0;0;0;945;947;3;1.38629436111989;6;0.3;1;36;216;0.09;0.027;1.8
