"industry";"cartel";"start";"end";"duration";"startyear";"endyear";"duration_year";"n_firms";"rho_start";"theta_len";"structured";"detected";"len_reduction"
35;2;135;777;643;12;65;54;2;0.1;1;0;1;0
35;3;779;803;25;65;67;3;2;0.1;0;0;1;1
35;3;779;803;25;65;67;3;2;0.1;0.5;0;1;0.5
35;3;779;803;25;65;67;3;2;0.1;1;0;1;0
35;4;805;960;156;68;80;13;2;0.1;0;0;1;1
35;4;805;960;156;68;80;13;2;0.1;0.5;0;1;0.5
35;4;805;960;156;68;80;13;2;0.1;1;0;1;0
36;1;1;681;681;1;57;57;2;0.1;0;0;1;1
36;1;1;681;681;1;57;57;2;0.1;0.5;0;1;0.5
36;1;1;681;681;1;57;57;2;0.1;1;0;1;0
36;1;952;1000;49;80;84;5;2;0.1;0;0;0;1
36;1;952;1000;49;80;84;5;2;0.1;0.5;0;0;0.5
36;1;952;1000;49;80;84;5;2;0.1;1;0;0;0
36;2;683;950;268;57;80;24;2;0.1;0;0;1;1
36;2;683;950;268;57;80;24;2;0.1;0.5;0;1;0.5
36;2;683;950;268;57;80;24;2;0.1;1;0;1;0
37;1;1;479;479;1;40;40;2;0.1;0;0;1;1
37;1;1;479;479;1;40;40;2;0.1;0.5;0;1;0.5
37;1;1;479;479;1;40;40;2;0.1;1;0;1;0
37;1;481;1000;520;41;84;44;2;0.1;0;0;0;1
37;1;481;1000;520;41;84;44;2;0.1;0.5;0;0;0.5
37;1;481;1000;520;41;84;44;2;0.1;1;0;0;0
38;1;1;426;426;1;36;36;2;0.1;0;0;1;1
38;1;1;426;426;1;36;36;2;0.1;0.5;0;1;0.5
38;1;1;426;426;1;36;36;2;0.1;1;0;1;0
38;1;428;1000;573;36;84;49;2;0.1;0;0;0;1
38;1;428;1000;573;36;84;49;2;0.1;0.5;0;0;0.5
38;1;428;1000;573;36;84;49;2;0.1;1;0;0;0
39;1;1;94;94;1;8;8;2;0.1;0;0;1;1
39;1;1;94;94;1;8;8;2;0.1;0.5;0;1;0.5
39;1;1;94;94;1;8;8;2;0.1;1;0;1;0
39;1;96;1000;905;8;84;77;2;0.1;0;0;0;1
39;1;96;1000;905;8;84;77;2;0.1;0.5;0;0;0.5
39;1;96;1000;905;8;84;77;2;0.1;1;0;0;0
40;1;1;249;249;1;21;21;2;0.1;0;0;1;1
40;1;1;249;249;1;21;21;2;0.1;0.5;0;1;0.5
40;1;1;249;249;1;21;21;2;0.1;1;0;1;0
40;1;251;1000;750;21;84;64;2;0.1;0;0;0;1
40;1;251;1000;750;21;84;64;2;0.1;0.5;0;0;0.5
40;1;251;1000;750;21;84;64;2;0.1;1;0;0;0
41;1;1;892;892;1;75;75;2;0.1;0;0;1;1
41;1;1;892;892;1;75;75;2;0.1;0.5;0;1;0.5
41;1;1;892;892;1;75;75;2;0.1;1;0;1;0
41;1;894;1000;107;75;84;10;2;0.1;0;0;0;1
41;1;894;1000;107;75;84;10;2;0.1;0.5;0;0;0.5
41;1;894;1000;107;75;84;10;2;0.1;1;0;0;0
42;1;1;377;377;1;32;32;2;0.1;0;0;1;1
42;1;1;377;377;1;32;32;2;0.1;0.5;0;1;0.5
42;1;1;377;377;1;32;32;2;0.1;1;0;1;0
42;1;941;1000;60;79;84;6;2;0.1;0;0;0;1
42;1;941;1000;60;79;84;6;2;0.1;0.5;0;0;0.5
42;1;941;1000;60;79;84;6;2;0.1;1;0;0;0
42;2;379;939;561;32;79;48;2;0.1;0;0;1;1
42;2;379;939;561;32;79;48;2;0.1;0.5;0;1;0.5
42;2;379;939;561;32;79;48;2;0.1;1;0;1;0
43;1;1;179;179;1;15;15;2;0.1;0;0;1;1
43;1;1;179;179;1;15;15;2;0.1;0.5;0;1;0.5
43;1;1;179;179;1;15;15;2;0.1;1;0;1;0
43;1;818;1000;183;69;84;16;2;0.1;0;0;0;1
43;1;818;1000;183;69;84;16;2;0.1;0.5;0;0;0.5
43;1;818;1000;183;69;84;16;2;0.1;1;0;0;0
43;2;181;516;336;16;43;28;2;0.1;0;0;1;1
43;2;181;516;336;16;43;28;2;0.1;0.5;0;1;0.5
43;2;181;516;336;16;43;28;2;0.1;1;0;1;0
43;3;518;713;196;44;60;17;2;0.1;0;0;1;1
43;3;518;713;196;44;60;17;2;0.1;0.5;0;1;0.5
43;3;518;713;196;44;60;17;2;0.1;1;0;1;0
43;4;715;816;102;60;68;9;2;0.1;0;0;1;1
43;4;715;816;102;60;68;9;2;0.1;0.5;0;1;0.5
43;4;715;816;102;60;68;9;2;0.1;1;0;1;0
44;1;1;1;1;1;1;1;2;0.1;0;0;1;1
44;1;1;1;1;1;1;1;2;0.1;0.5;0;1;0.5
44;1;1;1;1;1;1;1;2;0.1;1;0;1;0
44;1;618;1000;383;52;84;33;2;0.1;0;0;0;1
44;1;618;1000;383;52;84;33;2;0.1;0.5;0;0;0.5
44;1;618;1000;383;52;84;33;2;0.1;1;0;0;0
44;2;3;17;15;1;2;2;2;0.1;0;0;1;1
44;2;3;17;15;1;2;2;2;0.1;0.5;0;1;0.5
44;2;3;17;15;1;2;2;2;0.1;1;0;1;0
44;3;19;37;19;2;4;3;2;0.1;0;0;1;1
44;3;19;37;19;2;4;3;2;0.1;0.5;0;1;0.5
44;3;19;37;19;2;4;3;2;0.1;1;0;1;0
44;4;39;307;269;4;26;23;2;0.1;0;0;1;1
44;4;39;307;269;4;26;23;2;0.1;0.5;0;1;0.5
44;4;39;307;269;4;26;23;2;0.1;1;0;1;0
44;5;309;616;308;26;52;27;2;0.1;0;0;1;1
44;5;309;616;308;26;52;27;2;0.1;0.5;0;1;0.5
44;5;309;616;308;26;52;27;2;0.1;1;0;1;0
45;1;1;289;289;1;25;25;2;0.1;0;0;1;1
45;1;1;289;289;1;25;25;2;0.1;0.5;0;1;0.5
45;1;1;289;289;1;25;25;2;0.1;1;0;1;0
45;1;519;1000;482;44;84;41;2;0.1;0;0;0;1
45;1;519;1000;482;44;84;41;2;0.1;0.5;0;0;0.5
45;1;519;1000;482;44;84;41;2;0.1;1;0;0;0
45;2;291;517;227;25;44;20;2;0.1;0;0;1;1
45;2;291;517;227;25;44;20;2;0.1;0.5;0;1;0.5
45;2;291;517;227;25;44;20;2;0.1;1;0;1;0
46;1;1;373;373;1;32;32;2;0.1;0;0;1;1
46;1;1;373;373;1;32;32;2;0.1;0.5;0;1;0.5
46;1;1;373;373;1;32;32;2;0.1;1;0;1;0
46;1;375;1000;626;32;84;53;2;0.1;0;0;0;1
46;1;375;1000;626;32;84;53;2;0.1;0.5;0;0;0.5
46;1;375;1000;626;32;84;53;2;0.1;1;0;0;0
47;1;1;48;48;1;4;4;2;0.1;0;0;1;1
47;1;1;48;48;1;4;4;2;0.1;0.5;0;1;0.5
47;1;1;48;48;1;4;4;2;0.1;1;0;1;0
47;2;50;314;265;5;27;23;2;0.1;0;0;1;1
47;2;50;314;265;5;27;23;2;0.1;0.5;0;1;0.5
47;2;50;314;265;5;27;23;2;0.1;1;0;1;0
47;3;316;319;4;27;27;1;2;0.1;0;0;1;1
47;3;316;319;4;27;27;1;2;0.1;0.5;0;1;0.5
47;3;316;319;4;27;27;1;2;0.1;1;0;1;0
47;4;321;999;679;27;84;58;2;0.1;0;0;1;1
47;4;321;999;679;27;84;58;2;0.1;0.5;0;1;0.5
